biomarker_name,mdbid,condition_id,condition_name
Hydrogen carbonate,MDB00013430,930,Type I Autosonal Dominant Pseudyhopoaldosteronism
Hydrogen carbonate,MDB00013430,1404,Succinyl Co A:3 Oxoacid Co A Transferase Deficiency
Hydrogen carbonate,MDB00013430,1506,Carnitine Palmitoyltransferase I Deficiency
Hydrogen carbonate,MDB00013430,3049,Pyruvate Dehydrogenase Phosphatase Deficiency
17-Hydroxyprogesterone,MDB00000154,4,Congenital Adrenal Hyperplasia
17-Hydroxyprogesterone,MDB00000154,267,Phenylketonuria
17-Hydroxyprogesterone,MDB00000154,1085,Lipoid Congenital Adrenal Hyperplasia
17-Hydroxyprogesterone,MDB00000154,1086,Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis
3-Hydroxyisovaleric acid,MDB00013435,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
3-Hydroxyisovaleric acid,MDB00013435,58,Biotinidase Deficiency
3-Hydroxyisovaleric acid,MDB00013435,115,Diabetes Mellitus Type 2
3-Hydroxyisovaleric acid,MDB00013435,212,Lung Cancer
3-Hydroxyisovaleric acid,MDB00013435,1451,3-Methylglutaconic Aciduria Type I
3-Hydroxyisovaleric acid,MDB00013435,5988,Preeclampsia/Eclampsia
Methylglutaric acid,MDB00013434,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
Methylglutaric acid,MDB00013434,3317,Type V 3-Methylglutaconic Aciduria
3-Methylcrotonylglycine,MDB00013425,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
3-Methylcrotonylglycine,MDB00013425,58,Biotinidase Deficiency
3-Methylcrotonylglycine,MDB00013425,281,Propionic Acidemia
3-Methylglutaconic acid,MDB00000182,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
3-Methylglutaconic acid,MDB00000182,267,Phenylketonuria
3-Methylglutaconic acid,MDB00000182,1451,3-Methylglutaconic Aciduria Type I
3-Methylglutaconic acid,MDB00000182,3317,Type V 3-Methylglutaconic Aciduria
3-Methylglutaconic acid,MDB00000182,5823,Eosinophilic Esophagitis
Ethylmalonic acid,MDB00000204,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
Ethylmalonic acid,MDB00000204,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Ethylmalonic acid,MDB00000204,219,Malonyl Co A Decarboxylase Deficiency
Ethylmalonic acid,MDB00000204,2345,Ethylmaonic Encephalopathy
Ethylmalonic acid,MDB00000204,3518,Isobutyryl Co A Dehydrogenase Deficiency
Ethylmalonic acid,MDB00000204,5823,Eosinophilic Esophagitis
(R)-3-Hydroxybutyric acid,MDB00000005,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,16,Long Chain 3 Hydroxyacyl Co A Dehydrogenase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,34,Pregnancy
(R)-3-Hydroxybutyric acid,MDB00000005,42,Anoxia
(R)-3-Hydroxybutyric acid,MDB00000005,115,Diabetes Mellitus Type 2
(R)-3-Hydroxybutyric acid,MDB00000005,133,Schizophrenia
(R)-3-Hydroxybutyric acid,MDB00000005,138,Fumarase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,222,Meningitis
(R)-3-Hydroxybutyric acid,MDB00000005,251,Obesity
(R)-3-Hydroxybutyric acid,MDB00000005,1506,Carnitine Palmitoyltransferase I Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,1624,Pyruvate Carboxylase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,3049,Pyruvate Dehydrogenase Phosphatase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,4281,3 Hydroxyacyl Co A Dehydrogenase Deficiency
(R)-3-Hydroxybutyric acid,MDB00000005,5988,Preeclampsia/Eclampsia
Acetoacetic acid,MDB00000030,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
Acetoacetic acid,MDB00000030,34,Pregnancy
Acetoacetic acid,MDB00000030,115,Diabetes Mellitus Type 2
Acetoacetic acid,MDB00000030,147,Glucose Transporter Type 1 Deficiency Syndrome
Acetoacetic acid,MDB00000030,201,Ketosis
Acetoacetic acid,MDB00000030,222,Meningitis
Acetoacetic acid,MDB00000030,267,Phenylketonuria
Acetoacetic acid,MDB00000030,1404,Succinyl Co A:3 Oxoacid Co A Transferase Deficiency
Acetoacetic acid,MDB00000030,5988,Preeclampsia/Eclampsia
L-Carnitine,MDB00000031,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
L-Carnitine,MDB00000031,34,Pregnancy
L-Carnitine,MDB00000031,251,Obesity
L-Carnitine,MDB00000031,252,Oculocerebrorenal Syndrome
L-Carnitine,MDB00000031,1506,Carnitine Palmitoyltransferase I Deficiency
L-Carnitine,MDB00000031,5823,Eosinophilic Esophagitis
Cortisol,MDB00000032,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
Cortisol,MDB00000032,51,Benign Gynecological Diseases
Cortisol,MDB00000032,139,Functional Hypothalamic Amenorrhea
Cortisol,MDB00000032,295,Rheumatoid Arthritis
Cortisol,MDB00000032,314,Stress
Cortisol,MDB00000032,1080,Isolated ACTH Deficiency
Cortisol,MDB00000032,1085,Lipoid Congenital Adrenal Hyperplasia
Cortisol,MDB00000032,1086,Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis
Cortisol,MDB00000032,1088,Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency
Cortisol,MDB00000032,1098,Corticosterone Methyloxidase Type I Deficiency
Cortisol,MDB00000032,1377,Antenatal Bartter Syndrome Type 2
Cortisol,MDB00000032,2185,Proprotein Convertase 1/3 Deficiency
Cortisol,MDB00000032,4185,Aromatase Deficiency
Cortisol,MDB00000032,4299,"Congenital Adrenal Insufficiency with 46,XY Sex Reversal"
Cortisol,MDB00000032,4386,Apparent Mineralocorticoid Excess
Cortisol,MDB00000032,5843,Glucocorticoid Resistance
3-Hydroxyisovalerylcarnitine,MDB00029838,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
3-Methylglutarylcarnitine,MDB00029840,5,3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency
4-Hydroxybutyric acid,MDB00000230,7,Succinic Semialdehyde Dehydrogenase Deficiency
4-Hydroxybutyric acid,MDB00000230,29,Aldehyde Dehydrogenase Deficiency
4-Hydroxybutyric acid,MDB00000230,149,Glutaric Acidemia Type 2
Alpha-Tocopherol,MDB00000354,8,Abetalipoproteinemia
Alpha-Tocopherol,MDB00000354,1723,Familial Isolated Deficiency of Vitamin E
Trihexosylceramide (d18:1/12:0),MDB00000458,8,Abetalipoproteinemia
Trihexosylceramide (d18:1/12:0),MDB00000458,183,Hypobetalipoproteinemia
Enkephalin L,MDB00000296,13,Acute Liver Disease
L-Cystine,MDB00000092,15,Acute Seizures
L-Cystine,MDB00000092,33,Alzheimer's Disease
L-Cystine,MDB00000092,104,Cystinuria
L-Cystine,MDB00000092,126,Epilepsy
L-Cystine,MDB00000092,1466,Molybdenum Cofactor Deficiency
5Z-Tetradecenoic acid,MDB00000181,16,Long Chain 3 Hydroxyacyl Co A Dehydrogenase Deficiency
3-Hydroxysebacic acid,MDB00000150,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Caproic acid,MDB00000184,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Caproic acid,MDB00000184,73,Celiac Disease
Caprylic acid,MDB00000171,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
cis-4-Decenedioic acid,MDB00000197,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Hexanoylglycine,MDB00000227,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Hexanoylglycine,MDB00000227,2345,Ethylmaonic Encephalopathy
Sebacic acid,MDB00000254,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Sebacic acid,MDB00000254,1167,Carnitine Acylcarnitine Translocase Deficiency
Suberic acid,MDB00000276,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Suberic acid,MDB00000276,219,Malonyl Co A Decarboxylase Deficiency
Suberic acid,MDB00000276,1167,Carnitine Acylcarnitine Translocase Deficiency
Adipic acid,MDB00000162,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Adipic acid,MDB00000162,219,Malonyl Co A Decarboxylase Deficiency
Adipic acid,MDB00000162,1167,Carnitine Acylcarnitine Translocase Deficiency
5-Hydroxyhexanoic acid,MDB00029984,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Capryloylglycine,MDB00029861,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
cis-4-Octenedioic acid,MDB00030010,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
cis-5-Decenedioic acid,MDB00029863,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Phenylpropionylglycine,MDB00029990,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Phenylpropionylglycine,MDB00029990,281,Propionic Acidemia
Suberylglycine,MDB00029991,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
trans-2-Hexenedioic acid,MDB00029972,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
trans-3-Octenedioic acid,MDB00029973,18,Medium Chain Acyl Co A Dehydrogenase Deficiency
Isobutyryl-L-carnitine,MDB00000241,20,Short Chain Acyl Coa Dehydrogenase Deficiency
Epinephrine,MDB00000035,21,Addison's Disease
1-Methyladenine,MDB00000843,22,Adenosine Deaminase Deficiency
Deoxyadenosine,MDB00000053,22,Adenosine Deaminase Deficiency
Deoxyadenosine,MDB00000053,23,Adenylosuccinate Lyase Deficiency
Deoxyadenosine,MDB00000053,5823,Eosinophilic Esophagitis
Deoxyadenosine triphosphate,MDB00029867,22,Adenosine Deaminase Deficiency
Adenosine,MDB00000024,23,Adenylosuccinate Lyase Deficiency
Adenosine,MDB00000024,303,Sepsis
Succinyladenosine,MDB00000282,23,Adenylosuccinate Lyase Deficiency
Succinyladenosine,MDB00000282,138,Fumarase Deficiency
SAICAR,MDB00000256,23,Adenylosuccinate Lyase Deficiency
SAICAR,MDB00000256,138,Fumarase Deficiency
Pipecolic acid,MDB00000036,24,Adrenoleukodystrophy
Pipecolic acid,MDB00000036,26,Refsum Disease
Pipecolic acid,MDB00000036,37,Anemia
Pipecolic acid,MDB00000036,222,Meningitis
Pipecolic acid,MDB00000036,266,Peroxisomal Diogenesis Disorder
Pipecolic acid,MDB00000036,1621,Pyridoxine Dependent Epilepsy
Pipecolic acid,MDB00000036,1629,Infantile Refsum Disease
Pipecolic acid,MDB00000036,6070,Zellweger Syndrome
Hexacosanoic acid,MDB00000391,24,Adrenoleukodystrophy
Hexacosanoic acid,MDB00000391,25,Adrenomyeloneuropathy
Hexacosanoic acid,MDB00000391,1577,D Bifunctional Protein Deficiency
Hexacosanoic acid,MDB00000391,6005,Rhizomelic Chondrodysplasia Punctata
Hexacosanoic acid,MDB00000391,6070,Zellweger Syndrome
Methylsuccinic acid,MDB00000343,26,Refsum Disease
Methylsuccinic acid,MDB00000343,199,Isovaleric Acidemia
Methylsuccinic acid,MDB00000343,2345,Ethylmaonic Encephalopathy
3-Methyladipic acid,MDB00000186,26,Refsum Disease
Coprocholic acid,MDB00029864,26,Refsum Disease
Coprocholic acid,MDB00029864,1577,D Bifunctional Protein Deficiency
Coprocholic acid,MDB00029864,1629,Infantile Refsum Disease
Coprocholic acid,MDB00029864,6070,Zellweger Syndrome
Butyric acid,MDB00000020,27,A.I.D.S.
Butyric acid,MDB00000020,99,Crohn's Disease
Butyric acid,MDB00000020,196,Irritable Bowel Syndrome
Butyric acid,MDB00000020,6247,Ulcerative Colitis
Leukotriene C4,MDB00000307,27,A.I.D.S.
Leukotriene C4,MDB00000307,123,Eczema
Leukotriene C4,MDB00000307,151,Glutathione Synthetase Deficiency
Leukotriene C4,MDB00000307,175,Hydrocephalus
Leukotriene C4,MDB00000307,222,Meningitis
5-Methyltetrahydrofolic acid,MDB00000321,27,A.I.D.S.
5-Methyltetrahydrofolic acid,MDB00000321,292,Rett Syndrome
L-Cysteine,MDB00000192,27,A.I.D.S.
L-Cysteine,MDB00000192,239,Multiple Sclerosis
L-Cysteine,MDB00000192,263,Peripheral Neuropathy
L-Cysteine,MDB00000192,315,Stroke
L-Cysteine,MDB00000192,316,Sulfite Oxidase Deficiency
L-Cysteine,MDB00000192,330,Uremia
Nicotinic acid,MDB00000329,28,Alcoholism
"(S)-3,4-Dihydroxybutyric acid",MDB00000147,29,Aldehyde Dehydrogenase Deficiency
3-Aminoisobutanoic acid,MDB00000435,29,Aldehyde Dehydrogenase Deficiency
Acetaldehyde,MDB00000293,29,Aldehyde Dehydrogenase Deficiency
Acetaldehyde,MDB00000293,6328,Ethanol Consumption
Homogentisic acid,MDB00000062,30,Alkaptonuria
Glycocholic acid,MDB00000066,31,Alpha 1 Antitrypsin Deficiency
Glycocholic acid,MDB00000066,73,Celiac Disease
Glycocholic acid,MDB00000066,82,Chronic Active Hepatitis
Glycocholic acid,MDB00000066,153,Glycogen Storage Disease
Glycocholic acid,MDB00000066,167,Hepatobiliary Diseases
Glycocholic acid,MDB00000066,192,Intrahepatic Biliary Hypoplasia
Glycocholic acid,MDB00000066,271,Portal Vein Obstruction
Oxoadipic acid,MDB00000107,32,Alpha Aminoadipic Aciduria
2-Hydroxyadipic acid,MDB00000145,32,Alpha Aminoadipic Aciduria
Aminoadipic acid,MDB00000178,32,Alpha Aminoadipic Aciduria
L-Valine,MDB00000274,33,Alzheimer's Disease
L-Valine,MDB00000274,65,Cachexia
L-Valine,MDB00000274,220,Maple Syrup Urine Disease
L-Valine,MDB00000274,261,Paraquat Poisoning
L-Valine,MDB00000274,267,Phenylketonuria
Citrulline,MDB00000279,33,Alzheimer's Disease
Citrulline,MDB00000279,44,Argininosuccinic Aciduria
Citrulline,MDB00000279,133,Schizophrenia
Citrulline,MDB00000279,1195,Classic Citrullinemia
Hydroxyproline,MDB00000237,33,Alzheimer's Disease
Hydroxyproline,MDB00000237,161,Hemodialysis
Hydroxyproline,MDB00000237,1389,Iminoglycinuria
Hydroxyproline,MDB00000237,5823,Eosinophilic Esophagitis
L-Leucine,MDB00000218,33,Alzheimer's Disease
L-Leucine,MDB00000218,159,Heart Failure
L-Leucine,MDB00000218,220,Maple Syrup Urine Disease
Glycine,MDB00000058,33,Alzheimer's Disease
Glycine,MDB00000058,44,Argininosuccinic Aciduria
Glycine,MDB00000058,113,D Glyceric Acidemia
Glycine,MDB00000058,126,Epilepsy
Glycine,MDB00000058,133,Schizophrenia
Glycine,MDB00000058,146,Glucoglycinuria
Glycine,MDB00000058,267,Phenylketonuria
Glycine,MDB00000058,281,Propionic Acidemia
Glycine,MDB00000058,557,Lewy Body Dementia
Glycine,MDB00000058,1358,Hyperammonemia due to Carbamoyl Phosphate Synthetase I Deficiency
Glycine,MDB00000058,3467,Phosphoserine Aminotransferase Deficiency
Glycine,MDB00000058,5497,Phosphoserine Phosphatase Deficiency
Glycine,MDB00000058,5705,Autosomal Dominant Polycystic Kidney Disease
Glycine,MDB00000058,5823,Eosinophilic Esophagitis
L-Glutamine,MDB00000205,33,Alzheimer's Disease
L-Glutamine,MDB00000205,34,Pregnancy
L-Glutamine,MDB00000205,207,Leukemia
L-Glutamine,MDB00000205,1358,Hyperammonemia due to Carbamoyl Phosphate Synthetase I Deficiency
L-Glutamine,MDB00000205,3279,Congenital Glutamine Defficiency
L-Glutamine,MDB00000205,5823,Eosinophilic Esophagitis
L-Threonine,MDB00000081,33,Alzheimer's Disease
L-Threonine,MDB00000081,133,Schizophrenia
L-Threonine,MDB00000081,251,Obesity
L-Threonine,MDB00000081,1195,Classic Citrullinemia
L-Lysine,MDB00000087,33,Alzheimer's Disease
L-Lysine,MDB00000087,104,Cystinuria
L-Lysine,MDB00000087,133,Schizophrenia
L-Lysine,MDB00000087,205,L 2 Hydroxyglutaric Aciduria
L-Lysine,MDB00000087,213,Lysinuric Protein Intolerance
L-Lysine,MDB00000087,281,Propionic Acidemia
L-Lysine,MDB00000087,1195,Classic Citrullinemia
L-Lysine,MDB00000087,1358,Hyperammonemia due to Carbamoyl Phosphate Synthetase I Deficiency
L-Lysine,MDB00000087,5705,Autosomal Dominant Polycystic Kidney Disease
Ornithine,MDB00000102,33,Alzheimer's Disease
Ornithine,MDB00000102,34,Pregnancy
Ornithine,MDB00000102,104,Cystinuria
Ornithine,MDB00000102,213,Lysinuric Protein Intolerance
Ornithine,MDB00000102,251,Obesity
Ornithine,MDB00000102,330,Uremia
Ornithine,MDB00000102,2093,Pearson Marrow Pancreas Syndrome
Carnosine,MDB00000016,33,Alzheimer's Disease
Carnosine,MDB00000016,72,Carnosinuria
Glycylproline,MDB00000236,33,Alzheimer's Disease
Glycylproline,MDB00000236,280,Prolidase Deficiency
Glycylproline,MDB00000236,5823,Eosinophilic Esophagitis
L-Histidine,MDB00000085,33,Alzheimer's Disease
L-Histidine,MDB00000085,109,Dengue Fever
L-Histidine,MDB00000085,171,Histidinemia
L-Histidine,MDB00000085,207,Leukemia
L-Histidine,MDB00000085,557,Lewy Body Dementia
L-Histidine,MDB00000085,5705,Autosomal Dominant Polycystic Kidney Disease
L-Histidine,MDB00000085,5823,Eosinophilic Esophagitis
L-Isoleucine,MDB00000083,33,Alzheimer's Disease
L-Isoleucine,MDB00000083,159,Heart Failure
L-Isoleucine,MDB00000083,220,Maple Syrup Urine Disease
L-Isoleucine,MDB00000083,5705,Autosomal Dominant Polycystic Kidney Disease
Anserine,MDB00000094,33,Alzheimer's Disease
Anserine,MDB00000094,5823,Eosinophilic Esophagitis
L-Tryptophan,MDB00000284,33,Alzheimer's Disease
L-Tryptophan,MDB00000284,207,Leukemia
L-Tryptophan,MDB00000284,303,Sepsis
L-Tryptophan,MDB00000284,5823,Eosinophilic Esophagitis
L-Cystathionine,MDB00000052,33,Alzheimer's Disease
L-Cystathionine,MDB00000052,102,Cystathioninuria
L-Phenylalanine,MDB00000077,33,Alzheimer's Disease
L-Phenylalanine,MDB00000077,50,Bacterial Infections
L-Phenylalanine,MDB00000077,133,Schizophrenia
L-Phenylalanine,MDB00000077,220,Maple Syrup Urine Disease
L-Phenylalanine,MDB00000077,244,Myocardial Infarction
L-Phenylalanine,MDB00000077,267,Phenylketonuria
L-Phenylalanine,MDB00000077,303,Sepsis
L-Phenylalanine,MDB00000077,557,Lewy Body Dementia
L-Phenylalanine,MDB00000077,5864,Hyperphenylalaninemia
Cytidine,MDB00000047,33,Alzheimer's Disease
Cytidine,MDB00000047,67,Canavan Disease
Cytidine,MDB00000047,557,Lewy Body Dementia
L-Serine,MDB00000089,33,Alzheimer's Disease
L-Serine,MDB00000089,133,Schizophrenia
L-Serine,MDB00000089,159,Heart Failure
L-Serine,MDB00000089,557,Lewy Body Dementia
L-Serine,MDB00000089,2294,Phosphoglycerate Dehydrogenase Deficiency
L-Serine,MDB00000089,3467,Phosphoserine Aminotransferase Deficiency
L-Serine,MDB00000089,5497,Phosphoserine Phosphatase Deficiency
L-Serine,MDB00000089,5705,Autosomal Dominant Polycystic Kidney Disease
Beta-Alanine,MDB00000028,33,Alzheimer's Disease
Beta-Alanine,MDB00000028,114,Dihydropyrimidinase Deficiency
Beta-Alanine,MDB00000028,557,Lewy Body Dementia
Beta-Alanine,MDB00000028,4050,GABA-Transaminase Deficiency
Guanine,MDB00000063,33,Alzheimer's Disease
L-Malic acid,MDB00000075,33,Alzheimer's Disease
L-Malic acid,MDB00000075,42,Anoxia
L-Malic acid,MDB00000075,557,Lewy Body Dementia
L-Malic acid,MDB00000075,5823,Eosinophilic Esophagitis
Hypoxanthine,MDB00013421,33,Alzheimer's Disease
Hypoxanthine,MDB00013421,67,Canavan Disease
Hypoxanthine,MDB00013421,175,Hydrocephalus
Hypoxanthine,MDB00013421,206,Lesch Nyhan Syndrome
Hypoxanthine,MDB00013421,316,Sulfite Oxidase Deficiency
Hypoxanthine,MDB00013421,330,Uremia
Hypoxanthine,MDB00013421,1734,Xanthinuria Type 1
Hypoxanthine,MDB00013421,1900,Phosphoribosylpyrophosphate Synthetase Superactivity
cis-Aconitic acid,MDB00000038,33,Alzheimer's Disease
cis-Aconitic acid,MDB00000038,557,Lewy Body Dementia
Oxidized glutathione,MDB00000421,33,Alzheimer's Disease
Oxidized glutathione,MDB00000421,239,Multiple Sclerosis
Isocitric acid,MDB00000093,33,Alzheimer's Disease
Isocitric acid,MDB00000093,42,Anoxia
Isocitric acid,MDB00000093,557,Lewy Body Dementia
D-Ribulose 5-phosphate,MDB00000201,33,Alzheimer's Disease
D-Ribulose 5-phosphate,MDB00000201,557,Lewy Body Dementia
L-Alanine,MDB00000078,33,Alzheimer's Disease
L-Alanine,MDB00000078,126,Epilepsy
L-Alanine,MDB00000078,133,Schizophrenia
L-Alanine,MDB00000078,159,Heart Failure
L-Alanine,MDB00000078,212,Lung Cancer
L-Alanine,MDB00000078,222,Meningitis
L-Alanine,MDB00000078,261,Paraquat Poisoning
L-Alanine,MDB00000078,2093,Pearson Marrow Pancreas Syndrome
L-Alanine,MDB00000078,2761,Amish Type Microcephaly
L-Alanine,MDB00000078,3049,Pyruvate Dehydrogenase Phosphatase Deficiency
L-Alanine,MDB00000078,5823,Eosinophilic Esophagitis
Uridine 5'-monophosphate,MDB00000134,33,Alzheimer's Disease
Glycerol 3-phosphate,MDB00000061,33,Alzheimer's Disease
Glycerol 3-phosphate,MDB00000061,557,Lewy Body Dementia
Homocysteine,MDB00013433,33,Alzheimer's Disease
Homocysteine,MDB00013433,36,Amyotrophic Lateral Sclerosis
Homocysteine,MDB00013433,83,Chronic Kidney Disease
Homocysteine,MDB00013433,84,Chronic Renal Failure
Homocysteine,MDB00013433,161,Hemodialysis
Homocysteine,MDB00013433,262,Parkinson's Disease
Homocysteine,MDB00013433,263,Peripheral Neuropathy
Homocysteine,MDB00013433,304,Sickle Cell Anemia
Homocysteine,MDB00013433,316,Sulfite Oxidase Deficiency
Homocysteine,MDB00013433,330,Uremia
Homocysteine,MDB00013433,1466,Molybdenum Cofactor Deficiency
Homocysteine,MDB00013433,1700,Transcobalamin Ii Deficiency
L-Lactic acid,MDB00000090,33,Alzheimer's Disease
L-Lactic acid,MDB00000090,105,Cytochrome C Oxidase Deficiency
L-Lactic acid,MDB00000090,115,Diabetes Mellitus Type 2
L-Lactic acid,MDB00000090,126,Epilepsy
L-Lactic acid,MDB00000090,261,Paraquat Poisoning
L-Lactic acid,MDB00000090,281,Propionic Acidemia
L-Lactic acid,MDB00000090,286,Pyruvate Dehydrogenase Deficiency
L-Lactic acid,MDB00000090,303,Sepsis
L-Lactic acid,MDB00000090,1296,Hereditary Fructose Intolerance
L-Lactic acid,MDB00000090,1297,"Fructose 1,6 Bisphosphatase Deficiency"
L-Lactic acid,MDB00000090,1507,Hereditary Myopathy With Lactic Acidosis
L-Lactic acid,MDB00000090,1517,Leigh Syndrome
L-Lactic acid,MDB00000090,1624,Pyruvate Carboxylase Deficiency
L-Lactic acid,MDB00000090,2093,Pearson Marrow Pancreas Syndrome
L-Lactic acid,MDB00000090,2143,M.L.A.S.A.
L-Lactic acid,MDB00000090,2397,G.R.A.C.I.L.E. Syndrome
